entry_time,exit_time,side,quantity,entry,exit,net_pnl,reason,exit_detail,gross_before_execution_costs,slippage_cost,entry_fee,exit_fee,funding_cost,initial_risk_usdt,initial_risk_fraction,initial_distance,entry_equity,peak_completed_close_r,first_trailing_update_r,trailing_updates,hours
2025-10-06 19:00:00+00:00,2025-10-07 06:00:00+00:00,1,0.065,126017.794,123886.67461047994,-149.07908149461235,stop,trailing_stop,-133.64963520936675,4.873125109436899,4.914693966,4.831580309808717,0.8100469000000001,180.74275275863667,0.018481304587217823,2780.657734748256,9779.761591270095,-0.24267423910806704,-0.24267423910806704,1,11.0
2025-10-10 20:00:00+00:00,2025-10-10 21:00:00+00:00,-1,0.053,116560.82126000001,109715.0709867931,355.62919110651825,target,target,366.42258414472195,3.5978196647556615,3.706634116068,3.48893925738002,0.0,182.2843554623613,0.018927459738947498,3439.3274615539867,9630.682509775483,0.6821453572612041,0.6821453572612041,1,1.0
2025-10-26 23:00:00+00:00,2025-10-27 09:00:00+00:00,1,0.082,114686.29556999999,114817.01366955756,-1.8381944681873628,stop,trailing_stop,16.364667043833848,5.645782880112586,5.642565742043999,5.648997072542232,1.265515817322393,183.65361691482806,0.018390535206167017,2239.6782550588787,9986.311700882,0.5852199649835665,-0.07942907406372825,6,10.0
2025-10-30 14:00:00+00:00,2025-10-31 00:00:00+00:00,-1,0.048,107541.02801000001,108447.75456188199,-49.46770362981529,stop,trailing_stop,-40.41263965843781,3.110234831897074,3.097181606688,3.123295331382201,-0.2756477985897911,189.90718510520418,0.019020250289933854,3956.399689691754,9984.473506413811,0.2668911365935001,-0.16779699779313953,5,10.0
2025-11-03 16:00:00+00:00,2025-11-04 21:00:00+00:00,-1,0.058,105669.88952000001,99199.26727883093,369.1669791069813,target,target,378.8608474135826,3.564757425775724,3.6773121552960006,3.4521345013033162,-1.0003357757737619,188.51081978679156,0.01897440459812987,3250.18654804813,9935.005802783995,1.5915669588585748,-0.29281718631551634,12,29.0
2025-11-13 19:00:00+00:00,2025-11-13 23:00:00+00:00,-1,0.049,98510.53797,100165.2627287911,-86.92258172130822,stop,trailing_stop,-78.16098594498068,2.9205272357830694,2.896209816318,2.9448587242264583,0.0,197.73938041676126,0.01919022366980079,4035.4975595257397,10304.172781890977,0.09680044758741455,-0.02947890024594038,2,4.0
2025-11-14 05:00:00+00:00,2025-11-16 09:00:00+00:00,-1,0.045,97740.36909000001,96496.76181538467,51.53409976558468,stop,trailing_stop,58.58453389752023,2.6222065398300742,2.6389899654299995,2.6054125690153858,-0.8161749423399063,194.29021741825028,0.019015900913831384,4317.560387072229,10217.250200169668,0.7875672336121797,0.06097635386601423,12,52.0
2025-11-16 22:00:00+00:00,2025-11-17 07:00:00+00:00,-1,0.067,93431.56212,95766.9125382315,-163.50794419627854,stop,trailing_stop,-152.66560242078396,3.8028756007261393,3.755948797224,3.849829884036906,-0.5663125064924307,195.83868213707277,0.01907126261657941,2922.965405030937,10268.784299935252,-0.24982775326151072,-0.24982775326151072,1,9.0
2025-11-17 18:00:00+00:00,2025-11-18 10:00:00+00:00,-1,0.049,92695.28307,91555.47217916625,51.197295007216105,stop,trailing_stop,58.55922502334748,2.708491372493242,2.725241322258,2.6917308820674877,-0.7635335606873572,193.11121423046353,0.019109938949941938,3941.045188376807,10105.276355738974,0.7799918354313718,0.05201236225470131,6,16.0
2025-11-20 17:00:00+00:00,2025-11-21 14:00:00+00:00,-1,0.051000000000000004,87802.75127000001,84760.88293412601,150.181417524686,stop,trailing_stop,157.77552293269332,2.6402378031195894,2.686764188862,2.5936830177842563,-0.3265796017585291,195.6459062674509,0.019263172730534964,3836.194240538253,10156.47365074619,1.4655543795433996,0.16249210308822942,8,21.0
2025-11-28 14:00:00+00:00,2025-11-28 16:00:00+00:00,1,0.085,92350.79693,91011.6072087191,-122.97930205048354,stop,trailing_stop,-109.15539482732508,4.675731481551267,4.70989064343,4.641591967644674,-0.2033068694674783,192.29021758763847,0.0186568985101292,2262.237853972217,10306.655068270875,-0.01763604562179366,-0.061221206141878474,2,2.0
