entry_time,exit_time,side,quantity,entry,exit,net_pnl,reason,flip_time,flip_price
2024-12-05 03:00:00+00:00,2024-12-15 23:00:00+00:00,1,0.078,101499.9,104547.0,202.46874997295154,new_ath,,
2024-12-16 01:00:00+00:00,2024-12-16 16:00:00+00:00,1,0.108,105478.3,106684.2,123.0573780814114,new_ath,,
2024-12-16 17:00:00+00:00,2024-12-16 18:00:00+00:00,1,0.099,106828.1,107237.9,36.331693199998846,new_ath,,
2024-12-17 15:00:00+00:00,2025-01-20 06:00:00+00:00,1,0.106,108254.3,108416.9,-32.927784055012694,new_ath,,
2025-01-20 07:00:00+00:00,2025-02-24 22:00:00+00:00,1,0.053,107586.3,93103.4984038796,-792.1489978254344,stop,2025-02-07 20:00:00+00:00,95752.5
2025-02-25 08:00:00+00:00,2025-02-28 01:00:00+00:00,-1,0.089,89310.1,82206.60504738177,632.5041577167409,target,2025-02-07 20:00:00+00:00,95752.5
2025-02-28 02:00:00+00:00,2025-02-28 18:00:00+00:00,-1,0.068,81666.1,84981.94601138124,-227.1581049311858,stop,2025-02-07 20:00:00+00:00,95752.5
2025-03-10 19:00:00+00:00,2025-03-11 08:00:00+00:00,-1,0.064,77662.0,81072.9821886767,-220.1047075307309,stop,2025-02-07 20:00:00+00:00,95752.5
2025-04-07 07:00:00+00:00,2025-04-07 10:00:00+00:00,-1,0.084,74822.0,77390.7496072512,-218.08613755319283,stop,2025-02-07 20:00:00+00:00,95752.5
2025-04-22 13:00:00+00:00,2025-04-24 03:00:00+00:00,1,0.12,88986.0,92659.3,434.7020382183151,trail_exit,,
2025-04-25 15:00:00+00:00,2025-05-12 11:00:00+00:00,1,0.117,95333.0,103714.9,956.038024438456,trail_exit,,
2025-05-19 00:00:00+00:00,2025-05-21 23:00:00+00:00,1,0.114,106435.0,109998.9,394.81313179208666,new_ath,,
2025-05-22 04:00:00+00:00,2025-05-22 17:00:00+00:00,1,0.079,111741.5,111873.3,5.123116820000229,new_ath,,
2025-07-09 20:00:00+00:00,2025-07-10 16:00:00+00:00,1,0.112,111710.9,112023.7,28.933588008843635,new_ath,,
2025-07-10 17:00:00+00:00,2025-07-10 21:00:00+00:00,1,0.111,112610.0,113773.6,124.13388408000063,new_ath,,
2025-07-10 22:00:00+00:00,2025-07-11 05:00:00+00:00,1,0.108,116459.7,117766.8,134.8547832000006,new_ath,,
2025-07-11 06:00:00+00:00,2025-07-11 09:00:00+00:00,1,0.108,117829.9,118420.0,57.35830968000062,new_ath,,
2025-07-11 10:00:00+00:00,2025-07-13 14:00:00+00:00,1,0.108,118462.1,118880.0,32.543939593229794,new_ath,,
2025-07-14 03:00:00+00:00,2025-07-14 05:00:00+00:00,1,0.107,119654.9,121787.2,222.9892390600003,new_ath,,
2025-07-14 06:00:00+00:00,2025-07-14 07:00:00+00:00,1,0.107,122468.0,122736.1,23.439332260000622,new_ath,,
2025-07-14 08:00:00+00:00,2025-08-13 22:00:00+00:00,1,0.107,122775.9,123293.3,-60.22720409704762,new_ath,,
2025-08-14 01:00:00+00:00,2025-08-25 13:00:00+00:00,1,0.105,123913.3,110796.69885505144,-1417.3730617281576,stop,2025-08-25 04:00:00+00:00,112736.1
2025-08-25 21:00:00+00:00,2025-08-26 22:00:00+00:00,-1,0.099,109521.2,111830.3160345662,-230.0885243042156,stop,2025-08-25 04:00:00+00:00,112736.1
2025-08-29 15:00:00+00:00,2025-09-02 03:00:00+00:00,-1,0.105,108164.9,110253.91158571994,-214.35131750763526,stop,2025-08-25 04:00:00+00:00,112736.1
2025-09-18 04:00:00+00:00,2025-09-25 17:00:00+00:00,1,0.095,117546.9,109592.55541654683,-766.0330437409258,stop,2025-09-25 12:00:00+00:00,111080.5
2025-10-02 14:00:00+00:00,2025-10-04 01:00:00+00:00,1,0.08700000000000001,119580.0,121829.8,187.49617329912166,trail_exit,,
2025-10-05 03:00:00+00:00,2025-10-05 04:00:00+00:00,1,0.085,124010.0,124590.0,45.073800000000006,new_ath,,
2025-10-05 05:00:00+00:00,2025-10-06 17:00:00+00:00,1,0.085,125149.5,125800.0,46.526259778300535,new_ath,,
2025-10-06 19:00:00+00:00,2025-10-15 17:00:00+00:00,1,0.085,125980.0,110173.37475753862,-1358.3546632777554,stop,2025-10-15 00:00:00+00:00,112940.2
2025-11-04 18:00:00+00:00,2025-11-05 16:00:00+00:00,-1,0.064,101074.6,103944.17614294965,-185.00618939408653,stop,2025-10-15 00:00:00+00:00,112940.2
2025-11-13 19:00:00+00:00,2025-11-18 03:00:00+00:00,-1,0.066,98540.1,90383.38788342716,539.7712257786396,target,2025-10-15 00:00:00+00:00,112940.2
2025-11-20 17:00:00+00:00,2025-11-23 01:00:00+00:00,-1,0.069,87829.1,85628.79467918708,150.33046102445067,stop,2025-10-15 00:00:00+00:00,112940.2
2026-01-14 17:00:00+00:00,2026-01-25 16:00:00+00:00,1,0.101,97235.2,87806.55256290053,-966.7001426174932,stop,2026-01-22 04:00:00+00:00,89951.9
2026-01-25 20:00:00+00:00,2026-01-26 01:00:00+00:00,-1,0.10300000000000001,86464.9,87686.20716801667,-128.89566618618215,stop,2026-01-22 04:00:00+00:00,89951.9
2026-01-29 16:00:00+00:00,2026-01-31 17:00:00+00:00,-1,0.095,84901.5,79449.64434290555,515.7486681910169,target,2026-01-22 04:00:00+00:00,89951.9
